Station,Date,Time,H2S
104,1/1/2009,0:00,1.5612
104,1/1/2009,0:20,0.7168
104,1/1/2009,0:40,0.88995
104,1/1/2009,1:00,1.02455
104,1/1/2009,1:20,0.4119
104,1/1/2009,1:40,0.81903
104,1/1/2009,2:00,0.91915
104,1/1/2009,2:20,0.82357
104,1/1/2009,2:40,0.59769
104,1/1/2009,3:00,0.48854
104,1/1/2009,3:20,0.38914
104,1/1/2009,3:40,0.53679
104,1/1/2009,4:00,0.64371
104,1/1/2009,4:20,0.67625
104,1/1/2009,4:40,0.65126
104,1/1/2009,5:00,0.56814
104,1/1/2009,5:20,0.55019
104,1/1/2009,5:40,0.71414
104,1/1/2009,6:00,0.98371
104,1/1/2009,6:20,0.72385
104,1/1/2009,6:40,0.75912
104,1/1/2009,7:00,0.88833
104,1/1/2009,7:20,0.39251
104,1/1/2009,7:40,0.36479
104,1/1/2009,8:00,0.2898
104,1/1/2009,8:20,0.2436
104,1/1/2009,8:40,0.39509
104,1/1/2009,9:00,0.4613
104,1/1/2009,9:20,0.46017
104,1/1/2009,9:40,0.40149
104,1/1/2009,10:00,0.4335
104,1/1/2009,10:20,0.36285
104,1/1/2009,10:40,0.40138
104,1/1/2009,11:00,0.38288
104,1/1/2009,11:20,0.42628
104,1/1/2009,11:40,0.47949
104,1/1/2009,12:00,0.32818
104,1/1/2009,12:20,0.36751
104,1/1/2009,12:40,0.65755
104,1/1/2009,13:00,0.64122
104,1/1/2009,13:20,0.5999
104,1/1/2009,13:40,0.52056
104,1/1/2009,14:00,0.62238
104,1/1/2009,14:20,0.5346
104,1/1/2009,14:40,0.66877
104,1/1/2009,15:00,0.44899
104,1/1/2009,15:20,0.55569
104,1/1/2009,15:40,0.66106
104,1/1/2009,16:00,0.56813
104,1/1/2009,16:20,0.61482
104,1/1/2009,16:40,0.52025
104,1/1/2009,17:00,0.93638
104,1/1/2009,17:20,0.79781
104,1/1/2009,17:40,0.83257
104,1/1/2009,18:00,0.8817
104,1/1/2009,18:20,0.95475
104,1/1/2009,18:40,0.79825
104,1/1/2009,19:00,0.92807
104,1/1/2009,19:20,0.77101
104,1/1/2009,19:40,1.07528
